timestamp,cpu_watts,gpu_watts
2026-05-10T16:05:07.880908Z,,8.370
2026-05-10T16:05:07.906818Z,73.033,8.350
2026-05-10T16:05:07.932533Z,66.815,8.350
2026-05-10T16:05:07.957892Z,65.100,8.350
2026-05-10T16:05:07.983606Z,94.346,8.350
2026-05-10T16:05:08.008438Z,80.707,8.410
2026-05-10T16:05:08.033664Z,83.215,8.410
2026-05-10T16:05:08.058558Z,72.139,8.410
2026-05-10T16:05:08.083880Z,68.994,8.410
2026-05-10T16:05:08.108138Z,67.492,8.460
2026-05-10T16:05:08.135331Z,66.869,8.460
2026-05-10T16:05:08.160810Z,78.887,8.460
2026-05-10T16:05:08.186702Z,86.997,8.460
2026-05-10T16:05:08.211851Z,76.656,8.540
2026-05-10T16:05:08.236798Z,77.254,8.540
2026-05-10T16:05:08.262546Z,76.539,8.540
2026-05-10T16:05:08.288034Z,73.391,8.540
2026-05-10T16:05:08.312689Z,72.039,8.630
2026-05-10T16:05:08.338072Z,66.895,8.630
2026-05-10T16:05:08.363443Z,68.516,8.630
2026-05-10T16:05:08.389703Z,61.209,8.630
2026-05-10T16:05:08.415504Z,61.588,8.730
2026-05-10T16:05:08.440755Z,61.690,8.730
2026-05-10T16:05:08.466453Z,63.552,8.730
2026-05-10T16:05:08.491767Z,72.606,8.730
2026-05-10T16:05:08.516869Z,76.608,9.330
2026-05-10T16:05:08.542086Z,73.379,9.330
2026-05-10T16:05:08.567081Z,67.648,9.330
2026-05-10T16:05:08.591807Z,61.160,9.330
2026-05-10T16:05:08.616076Z,59.775,9.480
2026-05-10T16:05:08.644134Z,58.811,9.480
2026-05-10T16:05:08.668890Z,65.192,9.480
2026-05-10T16:05:08.694168Z,61.001,9.480
2026-05-10T16:05:08.719593Z,59.026,9.480
2026-05-10T16:05:08.762741Z,62.848,9.480
2026-05-10T16:05:08.799190Z,61.851,9.480
2026-05-10T16:05:08.836376Z,60.791,9.480
2026-05-10T16:05:08.873198Z,60.839,9.480
2026-05-10T16:05:08.912124Z,58.938,9.480
2026-05-10T16:05:08.948925Z,63.494,9.480
2026-05-10T16:05:08.990110Z,65.013,9.480
2026-05-10T16:05:09.028180Z,72.455,9.480
2026-05-10T16:05:09.065085Z,69.870,9.480
2026-05-10T16:05:09.101584Z,64.159,9.480
2026-05-10T16:05:09.139993Z,63.867,9.480
2026-05-10T16:05:09.177782Z,83.719,9.480
2026-05-10T16:05:09.216188Z,77.456,9.480
2026-05-10T16:05:09.253330Z,76.437,9.480
2026-05-10T16:05:09.290945Z,67.788,9.480
2026-05-10T16:05:09.327703Z,59.382,9.480
2026-05-10T16:05:09.364046Z,58.248,9.480
2026-05-10T16:05:09.404781Z,60.074,9.480
2026-05-10T16:05:09.440593Z,63.054,9.480
2026-05-10T16:05:09.482080Z,58.371,9.480
2026-05-10T16:05:09.520280Z,61.283,9.480
2026-05-10T16:05:09.558249Z,71.303,9.480
2026-05-10T16:05:09.595217Z,87.438,11.110
2026-05-10T16:05:09.632974Z,75.684,11.110
2026-05-10T16:05:09.670359Z,68.064,11.110
2026-05-10T16:05:09.707333Z,62.485,11.110
2026-05-10T16:05:09.745380Z,59.557,11.110
2026-05-10T16:05:09.782705Z,59.347,11.110
2026-05-10T16:05:09.821437Z,65.054,11.110
2026-05-10T16:05:09.858515Z,63.732,11.110
2026-05-10T16:05:09.895314Z,63.963,11.110
2026-05-10T16:05:09.931921Z,61.465,11.110
2026-05-10T16:05:09.976249Z,62.793,11.110
2026-05-10T16:05:10.015948Z,60.084,11.110
2026-05-10T16:05:10.054098Z,67.423,11.110
2026-05-10T16:05:10.090039Z,73.222,11.110
2026-05-10T16:05:10.127612Z,69.438,11.110
2026-05-10T16:05:10.163713Z,67.994,11.110
2026-05-10T16:05:10.200312Z,86.973,11.110
2026-05-10T16:05:10.238555Z,79.527,11.110
2026-05-10T16:05:10.275467Z,76.112,11.110
2026-05-10T16:05:10.314693Z,67.615,11.110
2026-05-10T16:05:10.350958Z,62.419,11.110
2026-05-10T16:05:10.388393Z,63.358,11.110
2026-05-10T16:05:10.426910Z,63.936,11.110
2026-05-10T16:05:10.466290Z,62.982,11.110
2026-05-10T16:05:10.503816Z,61.142,11.110
2026-05-10T16:05:10.541878Z,60.820,11.110
2026-05-10T16:05:10.579310Z,76.609,11.110
2026-05-10T16:05:10.614889Z,88.786,10.270
2026-05-10T16:05:10.652814Z,80.042,10.270
2026-05-10T16:05:10.689551Z,69.648,10.270
